event_slug,event_name,start_date,end_date,city,venue,public_cost_eur,decision,priority,access_route,contact_email,contact_phone,registration_deadline,source_url,notes
beauty-trade-special,Beauty Trade Special,2026-05-09,2026-05-11,Utrecht,Jaarbeurs,"17.50 with KvK/code or 19.50 without code",removed-by-preference,low,"No action; founder preference excludes beauty and cosmetic route",info@beautytradespecial.nl,0618701089,,https://beautytradespecial.nl/tickets-bestellen/,"Official pricing retained for reference only; this event is out of scope now"
4tu-health,4TU.Health Event 2026,2026-05-28,2026-05-28,Wageningen,Omnia Congrescentrum,0,attend,high,"Free registration required",health@4tu.nl,,,https://www.utwente.nl/en/events/2026/5/721334/4tu.health-event-2026,"Use for connectors, innovation leads, and provider-network intros"
nvh-west,Regiobijeenkomst West,2026-05-21,2026-05-21,Leiden,Van der Valk Hotel Leiden,0,parked,low,"Only revisit if skin-therapy validation becomes strategically relevant again",info@huidtherapie.nl,"035 542 75 52","2026-05-13 11:30",https://huidtherapie.nl/professional/academie/agenda/regiobijeenkomst-west/,"Currently outside the active dental-first plan"
nvh-midden,Regiobijeenkomst Midden,2026-05-27,2026-05-27,Vianen,Van der Valk Hotel Vianen,0,parked,low,"Only revisit if skin-therapy validation becomes strategically relevant again",info@huidtherapie.nl,"035 542 75 52","2026-05-19 12:00",https://huidtherapie.nl/professional/academie/agenda/regiobijeenkomst-midden/,"Currently outside the active dental-first plan"
nvh-noord,Regiobijeenkomst Noord,2026-05-13,2026-05-13,Assen area,"Location follows",0,parked,low,"Only revisit if skin-therapy validation becomes strategically relevant again",info@huidtherapie.nl,"035 542 75 52","2026-05-05 12:00",https://huidtherapie.nl/professional/academie/agenda/regiobijeenkomst-noord/,"Currently outside the active dental-first plan"
medtechmeeting-2,MedtechMeeting #2 | Luris @ LUMC,2026-05-07,2026-05-07,Leiden,LUMC,,try,high,"Request-to-enroll route; use for intros and partnerships",,,"",https://www.medtechpartners.nl/lurislumc,"Best live connector room remaining in the active plan"
innovatiecafe,Innovatiecafe,2026-05-21,2026-05-21,TBD,TBD,,try,medium,"Wait for theme, speaker list, and registration page",info@health-holland.com,"+31 (0)70 205 1400","",https://www.health-holland.com/events/2026/05/save-date-innovatiecafe,"Attend only if topic matches provider operations or ambulatory care"
ai-zorg-congres,National AI in Healthcare Conference,2026-05-12,2026-05-12,Amsterdam,Muziekgebouw aan 't IJ,1195,remote-only,high,"Business ticket is outside budget; use speaker and organizer outreach instead",nationaleaiindezorgcongres@iqvia.com,,"",https://nationaleaiindezorgcongres.nl/tarieven,"Business ticket price; healthcare employee tiers are lower but still not the default Renvoo route"
dermatology-at-c,Dermatology@C,2026-05-28,2026-05-29,Domburg,TBD,,do-not-prioritize,low,"Only chase with a warm intro or confirmed access",,,"",https://nvdv.nl/professionals/nvdv/kalender,"Relevant audience in theory, weak public access path"
lente-in-twente,Lente in Twente,2026-05-28,2026-05-29,De Lutte,Hotel Het Ros van Twente,,do-not-prioritize,low,"Only chase with a sponsor-side or organizer-side intro",,,"",https://www.benecke.nl/agenda.html,"More specialist education than open networking"
knmt-av,KNMT Algemene Vergadering en ledenraad,2026-04-17,2026-04-17,Utrecht,KNMT office 't Hart,,association-only,medium,"Do not attend the governance event; use KNMT as an association route into dental practices and networks",info@knmt.nl,"+31 30 607 6276","",https://knmt.nl/evenementen/algemene-vergadering-en-ledenraad,"The event itself is not a target, but the association route is now active"
zorg-hr,Zorg & hr,2026-04-16,2026-04-16,Utrecht,Jaarbeurs,0,missed,high,"Past event",info@jaarbeurs.nl,"+31 (0)30 295 59 11","",https://www.zorg-en-hr.nl/,"Missed by one day as of 2026-04-17"
zorg-ict,Zorg & ict,2026-04-16,2026-04-16,Utrecht,Jaarbeurs,0,missed,high,"Past event",info@jaarbeurs.nl,"+31 (0)30 295 59 11","",https://www.zorg-en-ict.nl/bezoeken/praktische-informatie,"Missed by one day as of 2026-04-17"
zorg-facility,Zorg & facility,2026-04-16,2026-04-16,Utrecht,Jaarbeurs,0,missed,medium,"Past event",info@jaarbeurs.nl,"+31 (0)30 295 59 11","",https://www.zorg-en-facility.nl/bezoeken/praktische-informatie/,"Missed by one day as of 2026-04-17"
