segment,event_or_network,organization,contact_name,role_or_route,channel,public_contact,priority,best_use,next_action,notes
association,Dental association route,KNMT,General Office,Dental association route,Email and phone,"info@knmt.nl | +31 30 607 6276",high,"Ask for the best route into practice owners, practice managers, or member-facing groups dealing with scheduling and patient communication pain",send-initial-email,"This is now a core route because beauty and cosmetic channels are out"
association,Oral-care association route,NVM-mondhygiënisten,Bureau,Oral-care association route,Email and phone,"bureau@mondhygienisten.nl | 030-6571013",high,"Ask for the best route into mondzorg and oral-care practices where no-shows and admin burden matter",send-initial-email,"Useful for non-cosmetic oral-care practices and operators"
connector,MedtechMeeting #2,MedtechPartners,Request to enroll,Event access route,Website request form,https://www.medtechpartners.nl/lurislumc,high,"Request enrollment and position Renvoo as a founder seeking provider and ecosystem intros",submit-request,"Best live connector room in the remaining window"
connector,MedtechPartners ecosystem,KplusV / MedtechPartners,Max Rempt,Ecosystem contact,Phone and LinkedIn,"+31 6 12 15 31 85 | public LinkedIn on official team pages",medium,"Ask for the best provider-side intros if request-to-enroll is slow",prepare-linkedin-message,"Use only if the event form is insufficient"
connector,4TU.Health Event 2026,4TU.Health,Registration Desk,Event registration and cancellations,Email,"health@4tu.nl",high,"Register free and ask which stakeholder groups are most worth meeting for provider-side intros",register-and-send-fit-check,"This is a partner event, not a clinic-floor event"
connector,Innovatiecafe,Health~Holland,Contact Desk,Theme and registration route,Email and phone,"info@health-holland.com | +31 (0)70 205 1400",high,"Ask when theme, speaker list, and registration details will go live",send-initial-email,"Only attend if provider operations relevance is clear"
remote,National AI in Healthcare Conference,IQVIA,Event Desk,Registration and partnership route,Email,"nationaleaiindezorgcongres@iqvia.com",medium,"Ask about startup or guest-pass options and whether exhibitor or attendee list access exists",send-optional-email,"Do not buy a business ticket under current budget"
remote,National AI in Healthcare Conference,AIC4NL,General Contact,Organizer-side ecosystem route,Email,"info@aic4nl.nl",medium,"Ask for relevant healthcare operator or innovation-lead introductions",send-optional-email,"Use only if direct event-desk route is not enough"
parked,Beauty Trade Special,Beauty Trade Special,Visitor Desk,Visitor access and eligibility,Email and phone,"info@beautytradespecial.nl | 0618701089",low,"No action because founder preference excludes this route",park,"Retained only so the prior research trail is not lost"
parked,NVH West / Midden / Noord,NVH,General Office,Guest attendance route,Email and phone,"info@huidtherapie.nl | 035 542 75 52",low,"Only revisit if skin-therapy validation becomes relevant again",park,"Not part of the active dental-first plan"
missed,Utrecht fair cluster,Jaarbeurs,Visitor Service,Venue visitor desk,Email and phone,"info@jaarbeurs.nl | +31 (0)30 295 59 11",low,"Keep only as a future venue contact route",archive,"These events are already past"
