lead_rank,region_bucket,city,clinic_name,contact_email,contact_phone,official_website,source_file,status,owner,lead_score,lead_tier,buyer_role,named_contact,linkedin_url,pain_hypothesis,intro_source,subject,sequence_stage,last_touch_date,last_touch_channel,follow_up_date,response_class,meeting_status,meeting_target_date,one_pager_sent,next_action_date,notes
1,core_brainport,Eindhoven,Dental Clinics Eindhoven,eindhoven@dentalclinics.nl,+31402118136,https://www.dentalclinics.nl/tandarts/eindhoven/,brabant-dental-top-100.csv,sent,Mohamed,7,A2,owner_or_practice_manager,,,Likely loses site-level chair time to no-shows and late cancellations and still relies on front-desk recovery workflows.,KNMT_or_NVM,Korte vraag over no-shows bij Dental Clinics Eindhoven,first_email_sent,2026-04-17,email,2026-04-20,no_response,not_booked,,no,2026-04-20,Founder-intro email sent on 2026-04-17 in Dutch
2,core_brainport,Eindhoven,pc2-tandartsen,receptie@pc2-tandartsen.nl,//040-2930399,https://www.pc2-tandartsen.nl,brabant-dental-top-100.csv,sent,Mohamed,7,A2,owner_or_practice_manager,,,Likely loses chair time to no-shows and late cancellations and absorbs the recovery work through reminders and rescheduling.,KNMT_or_NVM,Korte vraag over no-shows bij pc2-tandartsen,first_email_sent,2026-04-17,email,2026-04-20,no_response,not_booked,,no,2026-04-20,Founder-intro email sent on 2026-04-17 in Dutch
3,core_brainport,Helmond,Tandartsenpraktijk Brouwhuis,info@tandartsenpraktijkbrouwhuis.nl,0492 511811,http://www.tandartsenpraktijkbrouwhuis.nl/,brabant-dental-top-100.csv,sent,Mohamed,7,A2,owner_or_practice_manager,,,Likely loses chair time to no-shows and late cancellations and absorbs the recovery work through reminders and rescheduling.,KNMT_or_NVM,Korte vraag over no-shows bij Tandartsenpraktijk Brouwhuis,first_email_sent,2026-04-17,email,2026-04-20,no_response,not_booked,,no,2026-04-20,Founder-intro email sent on 2026-04-17 in Dutch
4,core_brainport,Veldhoven,City Mondzorg - Veldhoven,info@citymondzorg.nl,+31 040 251 45 27,https://www.citymondzorg.nl,brabant-dental-top-100.csv,sent,Mohamed,7,A2,owner_or_practice_manager,,,"Likely feels reminder, confirmation, and rescheduling workload across an appointment-heavy oral-care schedule.",KNMT_or_NVM,Korte vraag over no-shows bij City Mondzorg - Veldhoven,first_email_sent,2026-04-17,email,2026-04-20,no_response,not_booked,,no,2026-04-20,Founder-intro email sent on 2026-04-17 in Dutch
5,core_brainport,Eindhoven,Oud Stratum Tandartsen,info@oudstratumtandartsen.nl,040 2111458,https://www.oudstratumtandartsen.nl,brabant-dental-top-100.csv,sent,Mohamed,7,A2,owner_or_practice_manager,,,Likely loses chair time to no-shows and late cancellations and absorbs the recovery work through reminders and rescheduling.,KNMT_or_NVM,Korte vraag over no-shows bij Oud Stratum Tandartsen,first_email_sent,2026-04-17,email,2026-04-20,no_response,not_booked,,no,2026-04-20,Founder-intro email sent on 2026-04-17 in Dutch
6,core_brainport,Eindhoven,Tandartspraktijk De Oude Toren B.V.,info@tandartspraktijkdeoudetoren.nl,040 291 2682,https://www.tandartspraktijkdeoudetoren.nl,brabant-dental-top-100.csv,sent,Mohamed,7,A2,owner_or_practice_manager,,,Likely loses chair time to no-shows and late cancellations and absorbs the recovery work through reminders and rescheduling.,KNMT_or_NVM,Korte vraag over no-shows bij Tandartspraktijk De Oude Toren B.V.,first_email_sent,2026-04-17,email,2026-04-20,no_response,not_booked,,no,2026-04-20,Founder-intro email sent on 2026-04-17 in Dutch
7,core_brainport,Best,Dental Clinics Best,best@dentalclinics.nl,+31499392920,https://www.dentalclinics.nl/tandarts/best/,brabant-dental-top-100.csv,sent,Mohamed,7,A2,owner_or_practice_manager,,,Likely loses site-level chair time to no-shows and late cancellations and still relies on front-desk recovery workflows.,KNMT_or_NVM,Korte vraag over no-shows bij Dental Clinics Best,first_email_sent,2026-04-17,email,2026-04-20,no_response,not_booked,,no,2026-04-20,Founder-intro email sent on 2026-04-17 in Dutch
8,core_brainport,Eindhoven,Atlas Dental Care Eindhoven,info@atlaseindhoven.nl,0402364711,https://atlaseindhoven.nl/contact/,brabant-dental-top-100.csv,sent,Mohamed,6,A2,owner_or_practice_manager,,,Likely loses chair time to no-shows and late cancellations and absorbs the recovery work through reminders and rescheduling.,KNMT_or_NVM,Korte vraag over no-shows bij Atlas Dental Care Eindhoven,first_email_sent,2026-04-17,email,2026-04-20,no_response,not_booked,,no,2026-04-20,Founder-intro email sent on 2026-04-17 in Dutch
9,core_brainport,Eindhoven,Tandartspraktijk Sibeliuslaan,info@tandartssibeliuslaan.nl,0403030967,https://www.tandartssibeliuslaan.nl/,brabant-dental-top-100.csv,sent,Mohamed,7,A2,owner_or_practice_manager,,,Likely loses chair time to no-shows and late cancellations and absorbs the recovery work through reminders and rescheduling.,KNMT_or_NVM,Korte vraag over no-shows bij Tandartspraktijk Sibeliuslaan,first_email_sent,2026-04-17,email,2026-04-20,no_response,not_booked,,no,2026-04-20,Founder-intro email sent on 2026-04-17 in Dutch
10,core_brainport,Helmond,Tandartsen Helmond,info@tandartsenhelmond.nl,0492525288,https://www.tandartsenhelmond.nl,brabant-dental-top-100.csv,sent,Mohamed,7,A2,owner_or_practice_manager,,,Likely loses chair time to no-shows and late cancellations and absorbs the recovery work through reminders and rescheduling.,KNMT_or_NVM,Korte vraag over no-shows bij Tandartsen Helmond,first_email_sent,2026-04-17,email,2026-04-20,no_response,not_booked,,no,2026-04-20,Founder-intro email sent on 2026-04-17 in Dutch
