event,target_name,organization,title_or_role,channel,public_route,priority,why_this_person,next_best_ask,status
National AI in Healthcare Conference,Diederik Gommers,Erasmus MC,Hoogleraar Intensive Care Geneeskunde and chair,LinkedIn,Official speaker page,high,"High-trust Dutch healthcare voice; useful for validating operational pain framing","Ask for a short post-event conversation or a pointer to managers facing scheduling and communication burden",queued
National AI in Healthcare Conference,Edgar van Zoelen,Antoni van Leeuwenhoek,Chief Digital Transformation Officer,LinkedIn,Official speaker page,high,"Strong digital-transformation operator with hospital implementation lens","Ask who in his network works on patient communication, no-shows, or outpatient operations",queued
National AI in Healthcare Conference,Jessica Workum,ETZ,Intensivist and AI specialist,LinkedIn,Official speaker page,high,"Implementation-focused AI leader who understands practical deployment","Ask for a short conversation about operational AI adoption in care settings",queued
National AI in Healthcare Conference,Wikje Muller-Draaistra,Kwadrant,CNIO,LinkedIn,Official speaker page,high,"Talks directly about admin burden, work pressure, and practical digital adoption","Ask about communication workflows and who owns them operationally",queued
National AI in Healthcare Conference,Sandra Kuiper-Toet,Zuyderland,Kwartiermaker R&D Future Health,LinkedIn,Official speaker page,high,"Session is explicitly about smart communication in care","Ask for an intro to teams working on patient communication workflows",queued
National AI in Healthcare Conference,Denise Hilling,Erasmus MC,Oncologisch chirurg and AI expert,LinkedIn,Official speaker page and steering group page,high,"Strong implementation and clinical adoption perspective","Ask how to position operational AI so it is credible and easy to adopt",queued
National AI in Healthcare Conference,Wilbert van Oorschot,Zovida,Huisarts and CMIO,LinkedIn,Official speaker page,medium,"Directly connected to practical digital workflow changes in care delivery","Ask for a short exchange on communication and documentation workflow pain",queued
National AI in Healthcare Conference,Matthijs Jantzen,GGz Centraal,Klinisch Informaticus,LinkedIn,Official speaker page,high,"Works on reducing admin burden and speech-driven workflows","Ask whether private outpatient communication pain maps to his implementation experience",queued
National AI in Healthcare Conference,Laura de Lange,GGz Centraal,GZ-psycholoog and digitalization adviser,LinkedIn,Official speaker page,high,"Combines care delivery with digital implementation","Ask who owns attendance, reminder, and scheduling workflow pain in outpatient settings",queued
National AI in Healthcare Conference,Rick Grobbee,UMC Utrecht and Utrecht University,Steering committee member,LinkedIn,Official steering-group page,medium,"Senior network node with credibility across research and care","Ask for one referral to an operator or implementation lead",queued
National AI in Healthcare Conference,Fleur Notermans,Erasmus MC,Adviseur and PhD candidate,LinkedIn,Official steering-group page,medium,"Focused on AI in the consultation room and implementation","Ask for practical advice on how founders should frame workflow adoption",queued
National AI in Healthcare Conference,Pieter Jeekel,AIC4NL,Chair of Nederlandse AI Coalitie voor Gezondheid en Zorg,LinkedIn,Official steering-group page,high,"Strong national connector for AI-in-care networks","Ask for the most relevant provider-side operator introductions",queued
National AI in Healthcare Conference,Dr. Nicky Hekster,TIAS and AIC4NL,Executive professor and steering committee member,LinkedIn,Official steering-group page,medium,"Strategy-heavy AI leader with broad ecosystem reach","Ask for two high-signal intros into implementation-minded care organizations",queued
National AI in Healthcare Conference,Prof. Dr. Marco Spruit,LUMC and Leiden University,Professor Translational Data Science and AI for Health,LinkedIn,Official steering-group page,high,"Relevant for applied AI and practical healthcare deployment","Ask for guidance on who feels outpatient operational pain most acutely",queued
National AI in Healthcare Conference,Bart Scheerder,UMCG,Lead AI strategie and partnerships,LinkedIn,Official steering-group page,high,"Explicitly focused on partnerships and scaling responsible AI","Ask for intros to provider operators and innovation managers who care about workflow ROI",queued
